"university_code","university_name","university_province","university_city","college_code","college_name","major_code","major_name","major_description","core_courses_text","knowledge_skills_text","technical_platform_text","capability_text"
"4150010635","西南大学","重庆","重庆","321","计算机与信息科学学院 软件学院","085401","软件工程","详情概要：软件工程专业面向企业级系统研发与平台化交付场景，培养能够贯通需求分析、架构设计、编码实现、测试验证与上线运维的应用型与创新型人才，强调工程规范、质量控制和团队协同。发展历程：专业最初以程序设计和数据库应用为建设重点，后续完成三轮培养方案升级，逐步形成面向云原生开发与持续交付的课程主线，并连续多年与行业企业联合开展实战课题。开设课程：课程体系由数据结构、操作系统、数据库系统、软件工程、软件测试、分布式系统与项目管理组成，同时设置企业实训与毕业项目双实践环节。教学优势：实施双导师指导和代码评审机制，课堂作业与真实需求对接，学生在校期间即可完成可部署、可测试、可维护的软件交付闭环。补充说明：专业每学期设置阶段评审，要求学生提交设计文档、测试报告和发布记录，确保学习成果可量化、可复查、可迭代。","数据结构；操作系统；数据库系统；软件工程；软件测试；分布式系统","需求分析；架构建模；接口设计；自动化测试；性能调优；质量保障","Linux；Git；MySQL；C++；Java；Docker；CI工具链","工程协作；问题拆解；文档规范；过程追踪；持续改进"
"4150010635","西南大学","重庆","重庆","321","计算机与信息科学学院 软件学院","085402","网络空间安全","详情概要：网络空间安全专业聚焦攻防对抗、安全运营与数据合规，培养能够在复杂网络环境中开展风险识别、漏洞分析、事件响应和体系建设的复合型安全人才，突出实战能力与规则意识并重。发展历程：专业由信息安全方向逐步拓展至云安全和工业互联网安全领域，近年持续引入攻防演练平台与日志分析平台，形成教学、竞赛、项目联动的培养模式，并建立校企联合安全实验室。开设课程：课程包括密码学原理、网络攻防技术、安全审计、恶意代码分析、渗透测试、应急响应与安全管理，配套开设安全靶场实训和事件复盘课程。教学优势：采用红蓝对抗和案例驱动教学，学生通过真实攻击链条演练掌握检测、封堵与恢复流程，能够将理论知识快速迁移到实际安全运维场景。","密码学；网络攻防；安全审计；渗透测试；应急响应；安全管理","威胁建模；漏洞复现；日志分析；策略配置；应急协同；合规检查","Linux；Python；Wireshark；SIEM；安全扫描工具；EDR平台","风险意识；证据链思维；快速响应；跨部门沟通；复盘改进"
"4150010635","西南大学","重庆","重庆","321","计算机与信息科学学院 软件学院","085403","人工智能","详情概要：人工智能专业面向智能感知、决策优化与场景应用，培养具备数据处理、模型构建、推理部署与效果评估能力的人才，强调算法理解与工程落地协同推进，服务产业智能化升级。发展历程：专业从机器学习课程群起步，逐步扩展到计算机视觉、自然语言处理和强化学习方向，近五年新增多门跨学科课程并建设算力实验环境，形成从算法基础到行业实践的完整培养链路。开设课程：核心课程包含概率统计、机器学习、深度学习、模式识别、计算机视觉、自然语言处理与模型压缩部署，同时设置行业数据挑战项目。教学优势：采用任务驱动式教学与实验复现实训，教师团队联合企业导师提供项目评审，学生能够在毕业前独立完成模型训练、误差诊断和在线推理服务部署。","概率统计；机器学习；深度学习；计算机视觉；自然语言处理；模型部署","特征工程；模型评估；误差分析；推理优化；实验复现；A/B验证","Python；PyTorch；TensorFlow；SQL；Linux；向量检索组件","算法思维；实验设计；结果解释；业务映射；持续学习"
"4150010635","西南大学","重庆","重庆","321","计算机与信息科学学院 软件学院","085404","数据科学与大数据技术","详情概要：数据科学与大数据技术专业面向数据治理、分析建模与数据产品化场景，培养能够完成数据采集、清洗建模、可视分析和决策支持的人才，强调数据价值发现与工程实现并行。发展历程：专业早期以数据库与统计分析为核心，随后引入分布式计算和机器学习课程，形成数据工程与数据分析双轨培养体系，并持续建设跨行业数据实践库支持教学改革。开设课程：课程覆盖数据库原理、数据仓库、分布式计算、数据挖掘、机器学习、可视化分析与数据安全治理，配套设有综合数据项目和企业课题。教学优势：通过真实数据案例驱动课堂，实施从指标设计到看板交付的全流程训练，学生能够在毕业前完成可复用的数据分析方案并输出结构化报告。补充说明：在综合实践环节中，学生需完成数据标准定义、任务调度设计与可视化交付，形成端到端数据产品思维。","数据库原理；数据仓库；分布式计算；数据挖掘；可视化分析；数据治理","数据清洗；特征构建；指标体系设计；建模评估；报告表达；ETL开发","Python；Spark；SQL；Airflow；BI工具；Docker","数据思维；证据导向；业务抽象；协同交付；质量意识"
"4150010635","西南大学","重庆","重庆","322","电子信息工程学院","080901","电子信息工程","详情概要：电子信息工程专业面向智能终端、嵌入式系统与硬件软件协同开发，培养能够完成电路设计、系统联调、信号处理和产品验证的工程技术人才，强调硬件基础与工程实践融合。发展历程：专业由传统电子技术方向发展而来，逐步完成从模拟电路教学到嵌入式平台开发的升级，近年新增传感网络与边缘计算课程，形成软硬一体化培养结构。开设课程：课程包括电路分析、数字电子技术、模拟电子技术、信号与系统、嵌入式系统、接口技术与硬件测试方法，并配套电子设计竞赛训练。教学优势：采用分层实验体系与项目制教学，学生从器件级调试过渡到系统级集成，能够在团队中完成原型设计、性能测试和故障闭环处理。补充说明：课程考核引入硬件调试日志与系统联调记录，鼓励学生在问题追踪中建立工程化分析习惯和稳定交付意识。","电路分析；数字电子；模拟电子；嵌入式系统；信号处理；接口技术","硬件调试；驱动开发；板级测试；系统联调；问题复现；可靠性验证","C；示波器；EDA工具；嵌入式开发板；串口与总线工具","实验严谨；工程执行；跨端协作；质量追踪；持续优化"
"4150010635","西南大学","重庆","重庆","322","电子信息工程学院","080902","通信工程","详情概要：通信工程专业服务于移动通信、网络优化与通信系统建设场景，培养能够开展网络规划、链路分析、参数优化和服务保障的人才，突出理论基础、现场能力和工程规范的统一。发展历程：专业从传统通信原理教学逐步扩展到5G与物联网通信方向，建设了覆盖协议分析与网络优化的实验平台，并通过校企合作强化现场问题处理训练。开设课程：课程包含通信原理、移动通信、数字信号处理、无线网络规划、通信协议分析、网络性能评估与工程管理，配套开设综合优化实训。教学优势：以真实网络指标和故障案例驱动教学，学生在模拟与实网结合环境中完成参数调优和问题定位，具备从数据发现问题到提出改进方案的能力。补充说明：专业组织网络保障实训，要求学生完成问题定界、参数调整和效果验证，提升通信系统连续优化的工程能力。","通信原理；移动通信；数字信号处理；网络规划；协议分析；性能评估","链路分析；参数调优；故障定位；指标监控；现场排障；优化复盘","Linux；抓包工具；网络优化平台；Python；脚本自动化工具","稳定性意识；沟通协调；现场执行；数据解读；复盘能力"
"4150010635","西南大学","重庆","重庆","323","机械工程学院","080301","机械设计制造及其自动化","详情概要：机械设计制造及其自动化专业面向装备制造与智能产线升级需求，培养能够完成结构设计、工艺优化、设备调试和系统集成的工程人才，强调机械基础、控制思维和制造实践协同。发展历程：专业由机械设计方向不断拓展，逐步融入自动化控制与数字制造课程，近年建设了数字化仿真与产线调试实训平台，形成产学协同培养格局。开设课程：课程覆盖机械原理、机械设计、制造工艺学、控制基础、机电一体化、质量工程和生产管理，并设置综合制造项目。教学优势：通过项目化教学和工厂场景模拟，学生可完成从方案设计到装配调试的完整流程训练，毕业后能够快速适应设备研发、工艺改进和现场技术支持岗位。补充说明：通过工艺改进案例复盘，学生需提交结构优化与制造可行性报告，强化设计决策与落地执行的一致性。","机械原理；机械设计；制造工艺；机电一体化；控制基础；质量工程","结构设计；工艺分析；设备调试；精度控制；成本优化；现场改进","SolidWorks；AutoCAD；PLC；Matlab；CAM软件","系统思维；规范执行；跨工种协作；质量意识；问题闭环"
"4150010635","西南大学","重庆","重庆","323","机械工程学院","080302","车辆工程","详情概要：车辆工程专业围绕整车开发、车载电子与动力系统控制，培养能够开展车辆系统分析、控制策略实现和测试验证的人才，强调汽车工程知识与电子控制能力融合。发展历程：专业由传统汽车构造教学升级到新能源与智能网联方向，持续扩展电驱动和车载控制课程，建设了整车仿真与台架测试平台支撑实践教学。开设课程：核心课程包括汽车构造、车辆动力学、车载电子控制、CAN通信、整车测试与故障诊断，同时设置新能源车辆综合实践。教学优势：采用任务链式教学，从零部件原理到整车联调逐级推进，学生可在项目中完成控制参数标定、功能验证和问题复盘，具备面向产业场景的工程交付能力。补充说明：专业设置车辆控制专项实验，要求学生在多工况下完成数据标定与策略验证，培养稳定可靠的系统交付能力。","汽车构造；车辆动力学；车载电子；CAN通信；整车测试；故障诊断","控制策略分析；系统联调；数据采集；标定验证；异常定位；测试闭环","C；CANoe；Matlab；测试台架；版本管理工具","安全意识；工程组织；问题分析；协同沟通；持续改进"
"4150010635","西南大学","重庆","重庆","324","土木工程学院","081001","土木工程","详情概要：土木工程专业面向基础设施建设与智慧建造场景，培养能够从事结构设计、施工组织、质量管理和项目协调的人才，强调工程安全、规范执行与数字化管理能力协同。发展历程：专业在传统结构方向基础上持续引入BIM与工程信息化课程，逐步形成设计、施工、运维一体化培养体系，并与多家工程单位共建实习基地。开设课程：课程包括结构力学、混凝土结构、工程测量、施工组织、工程经济、BIM技术与项目管理，配套开设综合施工模拟训练。教学优势：通过案例驱动与现场实习结合，学生可完成图纸解读、进度编排、质量检查和风险评估的全流程实践，具备进入工程项目团队的快速适配能力。补充说明：在项目训练中，学生需完成进度、质量和安全三类台账管理，提升工程现场组织与风险预控的综合能力。","结构力学；混凝土结构；工程测量；施工组织；BIM技术；项目管理","结构分析；施工管理；进度控制；质量检查；风险识别；成本核算","BIM平台；AutoCAD；项目管理软件；测量设备","责任意识；现场协同；规范执行；计划管理；问题预警"
"4150010635","西南大学","重庆","重庆","324","土木工程学院","081002","环境工程","详情概要：环境工程专业面向污染防治与绿色发展需求，培养能够完成环境监测、治理方案设计、过程评估和合规管理的人才，突出科学方法、工程实施与社会责任并行。发展历程：专业由环境监测方向拓展到水气土协同治理，持续完善实验平台和现场采样实践体系，近年加强生态修复与低碳技术课程建设，形成应用导向培养框架。开设课程：课程覆盖环境化学、水污染控制工程、大气污染控制工程、环境监测、环境评价、生态修复技术与环保法规，配套项目实践与报告写作训练。教学优势：采用真实监测数据与区域案例教学，学生能够完成从问题识别到治理建议输出的完整流程，具备进入环保治理、咨询评估和运维管理岗位的综合能力。补充说明：专业强调治理方案可执行性，要求学生结合监测数据提出阶段目标和实施路径，锻炼工程表达与协同推进能力。","环境化学；水污染控制；大气污染控制；环境监测；环境评价；生态修复","监测分析；方案设计；数据评估；合规报告；项目实施；效果复盘","监测设备；GIS工具；统计分析软件；环保信息平台","社会责任；合规意识；系统分析；跨部门协同；持续学习"
